HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,HomeWinStreak,AwayWinStreak,TGSH,TGSA,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Crystal Palace,Sunderland,1,3,-2,0,1,0,0,Loss,P Dowd,2.1,3.5,3.8,2.1,3.4,3.7
Burnley,Hull,1,0,1,1,0,0,0,Win,M Clattenburg,2.5,3.4,3.0,2.5,3.2,2.8
Liverpool,Chelsea,1,2,-1,0,1,0,0,Loss,A Taylor,3.4,3.4,2.3,3.1,3.25,2.3
Man United,Crystal Palace,1,0,1,1,0,0,0,Win,C Foy,1.3,6.0,11.0,1.32,5.5,7.6
QPR,Man City,2,2,0,1,0,0,0,Draw,M Dean,7.0,4.75,1.5,6.0,4.2,1.5
Southampton,Leicester,2,0,2,2,0,0,0,Win,M Oliver,1.44,4.75,8.0,1.44,4.5,6.5
West Ham,Aston Villa,0,0,0,2,0,0,0,Draw,J Moss,1.75,3.75,5.5,1.75,3.6,4.6
Sunderland,Everton,1,1,0,2,0,0,0,Draw,L Mason,4.0,3.5,2.05,3.6,3.3,2.05
Swansea,Arsenal,2,1,1,3,0,1,0,Win,P Dowd,3.75,3.5,2.1,3.3,3.3,2.15
Tottenham,Stoke,1,2,-1,0,1,0,0,Loss,M Jones,1.7,4.0,5.5,1.7,3.6,5.0
West Brom,Newcastle,0,2,-2,0,2,0,0,Loss,C Pawson,2.3,3.5,3.3,2.3,3.3,3.0
Arsenal,Man United,1,2,-1,0,3,0,1,Loss,M Dean,2.15,3.6,3.5,2.2,3.25,3.2
Chelsea,West Brom,2,0,2,1,0,0,0,Win,L Mason,1.25,6.5,15.0,1.25,5.75,10.5
Everton,West Ham,2,1,1,2,0,0,0,Win,M Clattenburg,1.85,3.8,4.5,1.85,3.6,4.0
Leicester,Sunderland,0,0,0,2,0,0,0,Draw,R Madley,2.1,3.5,3.8,2.15,3.4,3.2
Man City,Swansea,2,1,1,3,0,1,0,Win,N Swarbrick,1.4,5.25,8.5,1.4,4.6,7.5
Newcastle,QPR,1,0,1,4,0,1,0,Win,C Foy,1.83,3.75,4.75,1.91,3.4,3.9
Stoke,Burnley,1,2,-1,0,1,0,0,Loss,M Atkinson,1.7,3.8,5.75,1.72,3.6,4.75
Crystal Palace,Liverpool,3,1,2,1,0,0,0,Win,J Moss,4.33,3.7,1.91,3.7,3.6,1.91
Hull,Tottenham,1,2,-1,0,1,0,0,Loss,C Pawson,3.6,3.4,2.2,3.25,3.3,2.2
Aston Villa,Southampton,1,1,0,0,1,0,0,Draw,P Dowd,5.25,3.75,1.75,4.33,3.6,1.78
Burnley,Aston Villa,1,1,0,0,1,0,0,Draw,G Scott,2.15,3.4,3.75,2.2,3.2,3.25
Liverpool,Stoke,1,0,1,1,0,0,0,Win,C Pawson,1.73,4.0,5.0,1.75,4.0,4.75
Man United,Hull,3,0,3,2,0,0,0,Win,A Taylor,1.33,5.75,10.0,1.36,5.25,9.25
QPR,Leicester,3,2,1,3,0,1,0,Win,R East,2.38,3.4,3.25,2.38,3.2,3.0
Sunderland,Chelsea,0,0,0,3,0,1,0,Draw,K Friend,9.0,5.0,1.4,8.0,5.0,1.4
Swansea,Crystal Palace,1,1,0,3,0,1,0,Draw,M Atkinson,1.8,3.75,5.0,1.83,3.6,4.1
West Brom,Arsenal,0,1,-1,0,1,0,0,Loss,C Foy,4.5,3.8,1.85,4.2,3.8,1.9
West Ham,Newcastle,1,0,1,1,0,0,0,Win,M Dean,2.15,3.5,3.6,2.2,3.3,3.3
Southampton,Man City,0,3,-3,0,1,0,0,Loss,M Jones,3.2,3.6,2.3,3.2,3.4,2.35
Tottenham,Everton,2,1,1,1,0,0,0,Win,M Oliver,2.25,3.6,3.25,2.35,3.4,3.2
Burnley,Newcastle,1,1,0,1,0,0,0,Draw,P Dowd,2.8,3.3,2.75,2.8,3.1,2.75
Crystal Palace,Aston Villa,0,1,-1,0,1,0,0,Loss,M Oliver,2.1,3.4,4.0,2.1,3.2,3.6
Leicester,Liverpool,1,3,-2,0,2,0,0,Loss,L Mason,3.8,3.6,2.05,3.6,3.5,2.1
Man United,Stoke,2,1,1,1,0,0,0,Win,J Moss,1.45,4.5,8.5,1.44,4.25,7.25
Swansea,QPR,2,0,2,2,0,0,0,Win,K Friend,1.73,3.8,5.5,1.75,3.5,4.75
West Brom,West Ham,1,2,-1,0,1,0,0,Loss,M Jones,2.5,3.4,3.0,2.5,3.25,3.0
Arsenal,Southampton,1,0,1,1,0,0,0,Win,A Marriner,1.8,3.75,5.0,1.8,3.7,4.75
Chelsea,Tottenham,3,0,3,2,0,0,0,Win,M Dean,1.4,5.0,9.0,1.4,4.75,8.5
Everton,Hull,1,1,0,2,0,0,0,Draw,R Madley,1.53,4.33,7.0,1.55,3.8,6.0
Sunderland,Man City,1,4,-3,0,1,0,0,Loss,C Pawson,7.5,4.5,1.5,7.0,4.1,1.53
Hull,West Brom,0,0,0,0,1,0,0,Draw,M Oliver,2.45,3.3,3.2,2.5,3.1,2.85
Liverpool,Sunderland,0,0,0,0,1,0,0,Draw,N Swarbrick,1.5,4.5,7.5,1.53,4.1,7.0
Man City,Everton,1,0,1,1,0,0,0,Win,A Marriner,1.5,4.75,7.0,1.53,4.5,6.0
Newcastle,Chelsea,2,1,1,2,0,0,0,Win,M Atkinson,7.0,4.33,1.53,6.75,4.0,1.55
QPR,Burnley,2,0,2,3,0,1,0,Win,J Moss,2.05,3.5,4.0,2.1,3.2,3.5
Stoke,Arsenal,3,2,1,4,0,1,0,Win,A Taylor,4.0,3.6,2.0,3.75,3.3,2.0
Tottenham,Crystal Palace,0,0,0,4,0,1,0,Draw,L Mason,1.6,4.2,6.0,1.62,3.75,5.25
Aston Villa,Leicester,2,1,1,5,0,1,0,Win,C Pawson,2.4,3.4,3.2,2.4,3.2,3.2
West Ham,Swansea,3,1,2,6,0,1,0,Win,C Foy,2.35,3.4,3.25,2.4,3.4,3.0
Southampton,Man United,1,2,-1,0,1,0,0,Loss,K Friend,2.8,3.4,2.7,2.8,3.25,2.7
Arsenal,Newcastle,4,1,3,1,0,0,0,Win,L Mason,1.44,4.75,8.0,1.45,4.33,6.5
Burnley,Southampton,1,0,1,2,0,0,0,Win,M Clattenburg,5.5,3.75,1.73,4.75,3.5,1.75
Chelsea,Hull,2,0,2,3,0,1,0,Win,C Foy,1.18,8.0,18.0,1.18,6.25,15.5
Crystal Palace,Stoke,1,1,0,3,0,1,0,Draw,K Friend,2.6,3.25,3.0,2.62,3.25,2.85
Leicester,Man City,0,1,-1,0,1,0,0,Loss,J Moss,7.0,4.75,1.5,5.5,4.6,1.5
Sunderland,West Ham,1,1,0,0,1,0,0,Draw,P Dowd,2.95,3.4,2.55,2.85,3.25,2.62
West Brom,Aston Villa,1,0,1,1,0,0,0,Win,M Dean,2.15,3.4,3.8,2.15,3.25,3.4
Man United,Liverpool,3,0,3,2,0,0,0,Win,M Atkinson,1.8,3.8,4.75,1.85,3.6,4.5
Swansea,Tottenham,1,2,-1,0,1,0,0,Loss,R Madley,2.5,3.4,3.0,2.5,3.25,2.75
Everton,QPR,3,1,2,1,0,0,0,Win,N Swarbrick,1.45,4.5,8.5,1.45,4.25,6.75
Aston Villa,Man United,1,1,0,1,0,0,0,Draw,L Mason,6.25,4.0,1.62,6.0,3.9,1.62
Hull,Swansea,0,1,-1,0,1,0,0,Loss,M Clattenburg,3.1,3.3,2.5,2.9,3.25,2.6
Man City,Crystal Palace,3,0,3,1,0,0,0,Win,P Dowd,1.29,6.0,12.0,1.3,5.5,11.0
QPR,West Brom,3,2,1,2,0,0,0,Win,C Pawson,2.45,3.3,3.2,2.45,3.3,3.0
Southampton,Everton,3,0,3,3,0,1,0,Win,J Moss,2.45,3.5,3.0,2.5,3.4,2.9
Tottenham,Burnley,2,1,1,4,0,1,0,Win,M Jones,1.5,4.5,7.5,1.5,4.1,6.25
West Ham,Leicester,2,0,2,5,0,1,0,Win,M Atkinson,1.75,3.9,5.0,1.75,3.5,4.75
Liverpool,Arsenal,2,2,0,5,0,1,0,Draw,M Oliver,2.8,3.5,2.6,2.75,3.4,2.62
Newcastle,Sunderland,0,1,-1,0,1,0,0,Loss,A Taylor,2.05,3.5,4.0,2.1,3.4,3.75
Stoke,Chelsea,0,2,-2,0,2,0,0,Loss,N Swarbrick,6.25,4.0,1.62,5.75,3.75,1.67
Arsenal,QPR,2,1,1,1,0,0,0,Win,M Atkinson,1.29,6.0,13.0,1.29,5.5,9.25
Burnley,Liverpool,0,1,-1,0,1,0,0,Loss,A Taylor,4.75,3.8,1.8,4.2,3.5,1.83
Chelsea,West Ham,2,0,2,1,0,0,0,Win,M Oliver,1.33,5.75,10.0,1.33,5.0,8.75
Crystal Palace,Southampton,1,3,-2,0,1,0,0,Loss,M Dean,3.75,3.4,2.15,3.3,3.2,2.2
Everton,Stoke,0,1,-1,0,2,0,0,Loss,L Mason,1.83,3.6,5.0,1.83,3.4,4.33
Leicester,Tottenham,1,2,-1,0,3,0,1,Loss,N Swarbrick,3.8,3.6,2.05,3.5,3.4,2.05
Man United,Newcastle,3,1,2,1,0,0,0,Win,M Jones,1.4,5.0,9.0,1.4,4.5,7.5
Sunderland,Hull,1,3,-2,0,1,0,0,Loss,A Marriner,2.05,3.4,4.2,2.05,3.2,3.75
Swansea,Aston Villa,1,0,1,1,0,0,0,Win,R East,1.75,3.75,5.25,1.78,3.4,4.75
West Brom,Man City,1,3,-2,0,1,0,0,Loss,M Clattenburg,6.5,4.5,1.53,5.5,4.2,1.53
Aston Villa,Sunderland,0,0,0,0,1,0,0,Draw,M Atkinson,2.35,3.3,3.4,2.35,3.1,3.1
Hull,Leicester,0,1,-1,0,2,0,0,Loss,P Dowd,2.25,3.4,3.5,2.25,3.25,3.1
Man City,Burnley,2,2,0,0,2,0,0,Draw,K Friend,1.18,8.0,19.0,1.18,6.5,15.5
Newcastle,Everton,3,2,1,1,0,0,0,Win,C Pawson,2.9,3.4,2.6,2.8,3.3,2.6
QPR,Crystal Palace,0,0,0,1,0,0,0,Draw,M Jones,2.38,3.4,3.25,2.4,3.3,2.85
Southampton,Chelsea,1,1,0,1,0,0,0,Draw,A Taylor,4.75,3.75,1.83,4.6,3.6,1.83
Stoke,West Brom,2,0,2,2,0,0,0,Win,R East,1.91,3.6,4.5,1.91,3.6,3.7
Tottenham,Man United,0,0,0,2,0,0,0,Draw,J Moss,3.25,3.6,2.3,3.1,3.5,2.3
West Ham,Arsenal,1,2,-1,0,1,0,0,Loss,N Swarbrick,3.5,3.5,2.2,3.1,3.4,2.2
Liverpool,Swansea,4,1,3,1,0,0,0,Win,A Marriner,1.7,4.0,5.5,1.7,4.0,5.0
Aston Villa,Crystal Palace,0,0,0,1,0,0,0,Draw,R Madley,2.4,3.3,3.3,2.4,3.2,2.9
Hull,Everton,2,0,2,2,0,0,0,Win,K Friend,3.4,3.4,2.3,3.0,3.3,2.3
Liverpool,Leicester,2,2,0,2,0,0,0,Draw,M Jones,1.4,5.0,9.0,1.4,5.0,7.75
Man City,Sunderland,3,2,1,3,0,1,0,Win,R East,1.22,7.0,15.0,1.25,6.0,10.0
Newcastle,Burnley,3,3,0,3,0,1,0,Draw,M Dean,1.83,3.75,4.75,1.8,3.5,4.33
QPR,Swansea,1,1,0,3,0,1,0,Draw,A Taylor,3.0,3.4,2.5,2.75,3.2,2.55
Southampton,Arsenal,2,0,2,4,0,1,0,Win,C Pawson,2.9,3.4,2.6,2.8,3.3,2.6
Stoke,Man United,1,1,0,4,0,1,0,Draw,M Oliver,4.2,3.5,2.0,4.0,3.4,2.0
Tottenham,Chelsea,5,3,2,5,0,1,0,Win,P Dowd,5.0,3.75,1.8,4.25,3.6,1.8
West Ham,West Brom,1,1,0,5,0,1,0,Draw,J Moss,1.85,3.75,4.5,1.8,3.6,4.2
Burnley,QPR,2,1,1,6,0,1,0,Win,A Marriner,2.2,3.4,3.6,2.2,3.25,3.25
Chelsea,Newcastle,2,0,2,7,0,1,0,Win,R East,1.2,7.5,17.0,1.2,6.0,14.5
Crystal Palace,Tottenham,2,1,1,8,0,1,0,Win,A Taylor,3.5,3.5,2.2,3.4,3.3,2.3
Everton,Man City,1,1,0,8,0,1,0,Draw,M Atkinson,4.5,3.75,1.85,4.0,3.4,1.9
Leicester,Aston Villa,1,0,1,9,0,1,0,Win,M Oliver,2.2,3.4,3.6,2.2,3.2,3.3
Sunderland,Liverpool,0,1,-1,0,1,0,0,Loss,C Pawson,4.5,3.6,1.91,3.8,3.5,1.91
Swansea,West Ham,1,1,0,0,1,0,0,Draw,M Dean,2.25,3.5,3.4,2.25,3.2,3.2
West Brom,Hull,1,0,1,1,0,0,0,Win,N Swarbrick,2.05,3.4,4.2,2.05,3.4,3.5
Arsenal,Stoke,3,0,3,2,0,0,0,Win,J Moss,1.44,4.75,8.0,1.48,4.5,7.5
Man United,Southampton,0,1,-1,0,1,0,0,Loss,P Dowd,1.83,3.75,4.75,1.87,3.8,4.25
Aston Villa,Liverpool,0,2,-2,0,2,0,0,Loss,M Clattenburg,4.5,3.6,1.91,4.0,3.4,1.91
Burnley,Crystal Palace,2,3,-1,0,3,0,1,Loss,P Dowd,2.55,3.25,3.1,2.55,3.25,2.9
Leicester,Stoke,0,1,-1,0,4,0,1,Loss,A Marriner,2.63,3.3,2.9,2.62,3.25,2.65
Newcastle,Southampton,1,2,-1,0,5,0,1,Loss,R Madley,3.3,3.3,2.38,2.9,3.25,2.4
QPR,Man United,0,2,-2,0,6,0,1,Loss,N Swarbrick,6.0,4.2,1.62,4.75,4.0,1.65
Swansea,Chelsea,0,5,-5,0,7,0,1,Loss,J Moss,7.0,4.2,1.55,6.0,3.9,1.55
Tottenham,Sunderland,2,1,1,1,0,0,0,Win,C Foy,1.62,4.2,6.0,1.62,3.9,5.0
Man City,Arsenal,0,2,-2,0,1,0,0,Loss,M Dean,1.8,4.0,4.5,1.8,3.7,4.1
West Ham,Hull,3,0,3,1,0,0,0,Win,M Atkinson,1.75,3.75,5.25,1.75,3.5,4.75
Everton,West Brom,0,0,0,1,0,0,0,Draw,M Oliver,1.85,3.6,4.75,1.85,3.4,4.2
Chelsea,Man City,1,1,0,1,0,0,0,Draw,M Clattenburg,2.15,3.5,3.6,2.15,3.4,3.5
Crystal Palace,Everton,0,1,-1,0,1,0,0,Loss,R East,2.8,3.3,2.75,2.8,3.1,2.75
Hull,Newcastle,0,3,-3,0,2,0,0,Loss,P Dowd,2.7,3.25,2.88,2.7,3.2,2.8
Liverpool,West Ham,2,0,2,1,0,0,0,Win,A Marriner,1.67,4.0,5.75,1.7,3.8,4.5
Man United,Leicester,3,1,2,2,0,0,0,Win,M Atkinson,1.36,5.5,9.5,1.36,5.0,7.5
Stoke,QPR,3,1,2,3,0,1,0,Win,M Dean,1.65,4.0,6.0,1.7,3.8,4.5
Sunderland,Burnley,2,0,2,4,0,1,0,Win,L Mason,2.25,3.3,3.6,2.25,3.2,3.2
West Brom,Tottenham,0,3,-3,0,1,0,0,Loss,K Friend,2.9,3.3,2.63,2.75,3.1,2.62
Arsenal,Aston Villa,5,0,5,1,0,0,0,Win,A Taylor,1.25,6.5,15.0,1.28,6.0,11.0
Southampton,Swansea,0,1,-1,0,1,0,0,Loss,M Oliver,1.6,4.0,6.5,1.62,3.9,6.0
Aston Villa,Chelsea,1,2,-1,0,2,0,0,Loss,N Swarbrick,10.0,5.25,1.36,9.0,4.4,1.36
Everton,Liverpool,0,0,0,0,2,0,0,Draw,A Taylor,3.4,3.4,2.3,3.2,3.4,2.3
Leicester,Crystal Palace,0,1,-1,0,3,0,1,Loss,L Mason,2.4,3.3,3.25,2.4,3.25,2.9
