Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Arsenal,1,3,0,3,1,0,Win,M Oliver,4.5,3.9,1.83,4.6,3.8,1.75
Leicester,1,2,2,0,0,0,Draw,M Dean,1.73,3.6,4.75,1.8,3.5,4.4
Liverpool,0,1,2,1,1,0,Win,A Marriner,1.5,4.75,7.0,1.48,4.33,7.0
Tottenham,1,0,1,-1,0,0,Loss,J Moss,5.5,4.2,1.65,5.25,4.1,1.62
Burnley,1,0,2,-2,0,0,Loss,R Madley,1.75,3.5,4.75,1.75,3.5,4.75
Man City,0,5,0,-5,0,0,Loss,M Oliver,1.29,6.5,11.0,1.28,6.25,9.5
Hull,1,4,0,4,1,0,Win,M Atkinson,2.1,3.6,3.75,2.05,3.4,3.75
Man United,0,2,0,-2,0,0,Loss,A Taylor,2.5,3.3,3.1,2.45,3.4,2.9
Huddersfield,1,0,3,-3,0,0,Loss,J Moss,1.83,3.6,5.0,1.8,3.5,4.75
Liverpool,0,1,0,-1,0,0,Loss,K Friend,1.36,5.25,9.5,1.34,5.25,9.0
Swansea,1,0,2,-2,0,0,Loss,A Marriner,1.95,3.5,4.33,1.9,3.5,4.2
Burnley,0,1,0,-1,0,0,Loss,M Oliver,2.3,3.25,3.5,2.3,3.2,3.3
Southampton,1,0,1,-1,0,0,Loss,R Madley,3.0,3.3,2.6,2.95,3.25,2.5
Man City,0,5,0,-5,0,0,Loss,N Swarbrick,1.14,10.0,21.0,1.15,8.5,15.0
Man United,0,4,0,-4,0,0,Loss,M Dean,1.17,7.0,15.0,1.15,7.0,16.5
Chelsea,1,2,1,1,1,0,Win,A Marriner,9.0,5.0,1.4,9.0,5.0,1.36
Newcastle,0,1,0,-1,0,0,Loss,S Attwell,2.0,3.5,4.2,1.95,3.4,4.1
West Ham,1,2,2,0,0,0,Draw,R Madley,2.39,3.29,3.29,2.35,3.3,3.1
Tottenham,0,1,0,-1,0,0,Loss,K Friend,1.28,6.0,12.0,1.26,6.0,11.0
Everton,1,2,2,0,0,0,Draw,A Taylor,2.39,3.25,3.29,2.4,3.25,3.1
Stoke,1,2,1,1,1,0,Win,M Dean,2.04,3.5,4.0,2.0,3.4,3.9
Brighton,0,0,0,0,0,0,Draw,A Marriner,2.7,3.1,3.0,2.6,3.1,2.9
West Brom,0,0,0,0,0,0,Draw,M Oliver,2.5,3.2,3.2,2.5,3.1,3.1
Bournemouth,1,2,2,0,0,0,Draw,K Friend,2.04,3.5,4.0,2.0,3.4,3.9
Watford,1,2,1,1,1,0,Win,L Mason,2.29,3.5,3.25,2.25,3.4,3.25
Leicester,0,0,3,3,2,0,Win,M Atkinson,1.89,3.6,4.5,1.87,3.6,4.25
Swansea,0,1,1,0,0,0,Draw,C Pawson,3.29,3.2,2.45,3.2,3.1,2.4
Arsenal,1,2,3,-1,0,0,Loss,M Oliver,4.5,4.0,1.8,4.5,3.8,1.78
Man City,1,0,0,0,0,0,Draw,J Moss,11.0,6.5,1.28,11.5,6.25,1.25
Southampton,0,1,2,1,1,0,Win,S Attwell,1.9,3.39,4.0,1.91,3.5,4.1
Burnley,1,1,0,1,2,0,Win,M Oliver,2.0,3.29,4.5,2.0,3.2,4.2
Arsenal,0,4,1,-3,0,0,Loss,C Kavanagh,1.5,4.75,7.0,1.5,4.4,6.25
West Ham,0,1,1,0,0,0,Draw,N Swarbrick,3.1,3.25,2.54,3.0,3.2,2.45
Newcastle,1,1,1,0,0,0,Draw,A Marriner,2.04,3.39,4.2,2.0,3.25,4.1
Everton,0,3,1,-2,0,0,Loss,J Moss,2.25,3.25,3.2,2.25,3.2,3.4
Tottenham,1,0,1,-1,0,0,Loss,K Friend,7.5,4.5,1.5,7.0,4.2,1.5
Man United,1,2,3,-1,0,0,Loss,N Swarbrick,7.0,4.0,1.57,6.5,4.1,1.53
Chelsea,0,2,1,-1,0,0,Loss,A Taylor,1.3,5.75,12.0,1.3,5.5,10.5
Huddersfield,0,0,2,2,1,0,Win,M Dean,3.0,3.1,2.7,2.8,3.1,2.7
Liverpool,1,1,2,-1,0,0,Loss,N Swarbrick,7.0,4.33,1.44,6.75,4.33,1.5
Bournemouth,0,2,2,0,0,0,Draw,J Moss,2.5,3.39,3.0,2.45,3.4,2.9
Brighton,1,3,2,1,1,0,Win,A Marriner,1.9,3.5,4.75,1.9,3.4,4.33
Watford,0,0,0,0,0,0,Draw,C Kavanagh,2.89,3.39,2.54,2.95,3.2,2.5
Leicester,1,5,0,5,1,0,Win,M Dean,2.04,3.6,3.79,2.05,3.3,3.8
Stoke,0,1,2,1,2,0,Win,M Atkinson,2.7,3.39,2.79,2.6,3.3,2.75
West Brom,1,2,0,2,3,1,Win,J Moss,1.8,3.79,4.75,1.75,3.7,4.75
Fulham,0,0,2,2,1,0,Win,M Dean,2.5,3.4,3.0,2.45,3.3,2.95
Liverpool,1,0,2,-2,0,0,Loss,M Oliver,7.0,5.0,1.44,6.75,4.75,1.44
Watford,0,2,1,-1,0,0,Loss,A Taylor,2.6,3.25,3.0,2.55,3.1,2.95
Southampton,1,0,2,-2,0,0,Loss,M Atkinson,2.0,3.5,4.2,1.95,3.4,4.1
Huddersfield,0,0,1,1,1,0,Win,L Mason,3.3,3.1,2.5,3.1,3.1,2.45
Newcastle,1,0,0,0,0,0,Draw,A Marriner,2.14,3.4,3.75,2.15,3.3,3.6
Bournemouth,0,2,1,-1,0,0,Loss,M Dean,2.25,3.5,3.4,2.25,3.4,3.2
Wolves,1,0,1,-1,0,0,Loss,M Oliver,3.0,3.2,2.62,2.8,3.2,2.65
Everton,0,2,0,-2,0,0,Loss,A Taylor,1.85,3.6,4.75,1.85,3.5,4.5
Arsenal,1,2,2,0,0,0,Draw,M Atkinson,4.75,4.1,1.75,4.33,3.9,1.78
Chelsea,0,3,1,-2,0,0,Loss,M Oliver,1.25,6.75,13.0,1.26,6.0,11.5
Tottenham,1,0,1,-1,0,0,Loss,J Moss,4.5,3.75,1.85,4.5,3.7,1.8
Man United,0,0,0,0,0,0,Draw,L Mason,1.4,5.25,8.0,1.4,4.75,8.0
Burnley,1,2,0,2,1,0,Win,L Probert,1.61,3.9,6.5,1.62,3.75,6.0
Brighton,0,3,1,-2,0,0,Loss,K Friend,3.0,3.1,2.7,2.85,3.0,2.75
West Ham,0,3,2,-1,0,0,Loss,A Taylor,2.3,3.4,3.4,2.2,3.4,3.3
Leicester,1,1,0,1,1,0,Win,M Oliver,2.62,3.2,3.0,2.55,3.2,2.9
Man City,0,2,3,1,2,0,Win,A Marriner,1.14,10.0,21.0,1.15,8.0,17.5
Cardiff,1,0,0,0,0,0,Draw,L Probert,1.66,4.0,5.75,1.65,4.0,5.25
Chelsea,1,0,1,-1,0,0,Loss,C Pawson,4.75,4.0,1.66,5.0,3.8,1.7
Wolves,0,0,2,2,1,0,Win,R East,2.0,3.4,4.33,2.0,3.25,4.1
Watford,1,1,2,-1,0,0,Loss,P Tierney,2.25,3.4,3.5,2.2,3.3,3.4
Liverpool,0,4,3,-1,0,0,Loss,J Moss,1.2,7.5,17.0,1.18,7.25,15.0
Southampton,0,1,1,0,0,0,Draw,A Marriner,2.4,3.4,3.2,2.3,3.3,3.2
Fulham,1,2,0,2,1,0,Win,M Oliver,2.05,3.5,4.0,2.0,3.5,3.8
West Ham,1,1,1,0,0,0,Draw,C Pawson,2.1,3.5,3.75,2.05,3.4,3.75
Leicester,0,1,4,3,1,0,Win,A Taylor,2.25,3.4,3.5,2.15,3.3,3.5
Man United,1,1,3,-2,0,0,Loss,M Atkinson,3.25,3.5,2.3,3.1,3.4,2.3
Burnley,0,1,3,2,1,0,Win,L Probert,2.8,3.3,2.75,2.75,3.2,2.65
Brighton,1,1,2,-1,0,0,Loss,C Pawson,1.83,3.6,5.0,1.8,3.5,4.75
Huddersfield,1,2,0,2,1,0,Win,L Probert,1.45,4.4,9.0,1.45,4.25,8.0
Tottenham,0,2,0,-2,0,0,Loss,A Marriner,1.45,5.0,7.5,1.42,4.75,7.25
Newcastle,0,0,1,1,1,0,Win,S Attwell,2.6,3.25,3.0,2.5,3.2,3.0
Man City,1,1,3,-2,0,0,Loss,M Atkinson,11.0,6.0,1.3,10.0,5.5,1.3
Arsenal,0,2,3,1,1,0,Win,J Moss,1.53,4.6,6.5,1.53,4.5,5.75
Everton,1,0,0,0,0,0,Draw,L Mason,2.62,3.5,2.8,2.55,3.4,2.75
Cardiff,0,2,3,1,1,0,Win,M Oliver,2.6,3.75,2.7,2.55,3.6,2.65
Bournemouth,1,5,3,2,2,0,Win,R East,1.9,4.2,3.8,1.85,3.9,3.9
Everton,1,0,0,0,0,0,Draw,J Moss,3.0,3.25,2.37,3.2,3.2,2.35
Sheffield United,0,1,0,-1,0,0,Loss,D Coote,2.55,3.1,2.9,2.55,3.2,2.9
Man United,0,1,2,1,1,0,Win,P Tierney,1.33,5.25,9.0,1.36,5.0,8.5
Aston Villa,1,1,0,1,2,0,Win,K Friend,2.15,3.3,3.5,2.2,3.3,3.4
Tottenham,0,4,0,-4,0,0,Loss,C Pawson,1.36,5.25,8.0,1.36,5.0,8.5
Wolves,1,1,1,0,0,0,Draw,S Attwell,2.62,3.1,2.87,2.65,3.0,2.95
Norwich,1,2,0,2,1,0,Win,J Moss,1.9,3.75,3.75,1.95,3.6,3.8
West Ham,0,1,2,1,2,0,Win,M Oliver,1.95,3.6,3.8,2.0,3.5,3.75
Man City,1,0,2,-2,0,0,Loss,A Taylor,12.0,7.0,1.22,12.5,6.5,1.22
Arsenal,0,2,2,0,0,0,Draw,M Atkinson,1.45,4.75,6.5,1.45,4.75,6.5
Leicester,1,0,2,-2,0,0,Loss,P Tierney,3.5,3.4,2.1,3.5,3.3,2.15
Chelsea,0,2,0,-2,0,0,Loss,M Dean,1.33,5.0,10.0,1.34,5.25,8.75
Liverpool,1,1,2,-1,0,0,Loss,K Friend,7.5,4.75,1.4,7.5,4.5,1.44
Burnley,0,0,2,2,1,0,Win,P Bankes,2.25,3.25,3.3,2.3,3.2,3.3
Bournemouth,1,1,0,1,2,0,Win,A Taylor,2.2,3.4,3.25,2.2,3.3,3.4
Watford,0,0,0,0,0,0,Draw,M Atkinson,2.37,3.3,3.1,2.3,3.3,3.2
Brighton,1,1,1,0,0,0,Draw,C Pawson,2.55,3.25,2.87,2.5,3.25,2.9
Newcastle,0,1,0,-1,0,0,Loss,S Hooper,2.37,3.1,3.25,2.45,3.1,3.1
West Ham,1,2,1,1,1,0,Win,A Marriner,2.3,3.4,3.1,2.2,3.5,3.2
Southampton,0,1,1,0,0,0,Draw,A Madley,1.95,3.6,3.8,1.95,3.6,3.9
Norwich,0,1,1,0,0,0,Draw,J Moss,2.5,3.4,2.75,2.55,3.5,2.7
Arsenal,1,1,1,0,0,0,Draw,P Tierney,4.1,3.9,1.8,4.0,3.8,1.85
Man City,0,2,2,0,0,0,Draw,S Scott,1.1,11.0,19.0,1.11,9.75,23.0
Southampton,1,0,2,-2,0,0,Loss,A Marriner,2.7,3.25,2.7,2.75,3.3,2.7
Sheffield United,1,0,1,-1,0,0,Loss,A Madley,3.1,3.1,2.5,3.1,3.1,2.45
Everton,0,3,1,-2,0,0,Loss,D Coote,1.61,3.8,6.0,1.62,3.7,6.0
