Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Bournemouth,0,0,0,0,0,0,Draw,P Tierney,5.25,3.8,1.66,5.0,4.1,1.65
Arsenal,1,2,1,1,1,0,Win,M Oliver,2.62,3.4,2.7,2.65,3.4,2.65
Newcastle,0,1,3,2,2,0,Win,D Coote,4.6,3.8,1.75,4.4,3.7,1.8
Leicester,1,3,0,3,3,1,Win,A Taylor,2.25,3.3,3.25,2.35,3.3,3.1
Crystal Palace,0,1,1,0,0,0,Draw,A Marriner,6.0,4.2,1.55,6.0,4.2,1.55
Everton,0,1,1,0,0,0,Draw,M Atkinson,3.2,3.4,2.4,2.95,3.2,2.4
Crystal Palace,1,1,0,1,1,0,Win,M Oliver,1.45,4.75,8.0,1.44,4.5,7.75
Liverpool,1,1,1,0,0,0,Draw,R Madley,2.38,3.4,3.0,2.4,3.5,2.9
Stoke,0,0,4,4,1,0,Win,A Taylor,4.6,3.75,1.85,4.6,3.6,1.8
Sunderland,1,1,0,1,2,0,Win,M Dean,1.33,5.5,11.0,1.28,5.5,9.25
Middlesbrough,0,1,2,1,3,1,Win,G Scott,3.75,3.5,2.1,3.75,3.5,2.0
Man City,1,2,0,2,4,1,Win,A Marriner,3.0,3.5,2.5,3.0,3.4,2.35
West Brom,0,1,1,0,0,0,Draw,K Friend,5.5,3.8,1.73,5.25,3.8,1.67
Bournemouth,0,0,0,0,0,0,Draw,C Pawson,4.2,3.6,1.95,4.1,3.6,1.95
Leicester,1,1,1,0,0,0,Draw,R Madley,1.62,4.2,6.0,1.62,4.0,5.5
Arsenal,0,1,1,0,0,0,Draw,M Clattenburg,1.95,3.6,4.2,1.95,3.6,3.9
West Ham,1,3,2,1,1,0,Win,M Dean,1.5,4.5,7.5,1.5,4.25,6.75
Chelsea,0,2,1,-1,0,0,Loss,M Oliver,1.75,3.8,5.25,1.75,3.8,5.0
Swansea,1,5,0,5,1,0,Win,J Moss,1.36,5.5,9.0,1.34,5.0,9.75
Man United,0,1,0,-1,0,0,Loss,R Madley,2.2,3.4,3.6,2.15,3.4,3.4
Hull,1,3,0,3,1,0,Win,A Marriner,1.22,7.0,15.0,1.22,6.5,13.5
Burnley,1,2,1,1,2,0,Win,K Friend,1.22,7.0,15.0,1.2,7.0,13.0
Southampton,0,1,4,3,3,1,Win,M Dean,2.8,3.25,2.6,2.75,3.2,2.55
Watford,0,1,4,3,4,1,Win,M Oliver,5.5,3.75,1.62,5.25,3.8,1.67
Chelsea,1,2,0,2,5,1,Win,M Atkinson,2.63,3.25,2.63,2.85,3.3,2.55
West Brom,1,4,0,4,6,1,Win,A Taylor,1.33,5.5,11.0,1.33,5.25,9.5
Man City,0,2,2,0,0,0,Draw,A Marriner,2.15,3.5,3.6,2.1,3.5,3.5
Sunderland,0,0,0,0,0,0,Draw,L Mason,9.5,5.25,1.36,9.5,5.25,1.33
Middlesbrough,1,1,0,1,1,0,Win,M Clattenburg,1.29,6.0,13.0,1.26,5.5,13.0
Liverpool,0,2,0,-2,0,0,Loss,A Taylor,2.3,3.4,3.4,2.25,3.4,3.25
Stoke,1,4,0,4,1,0,Win,J Moss,1.44,5.0,7.5,1.4,4.75,8.25
Everton,1,3,2,1,2,0,Win,M Oliver,1.67,4.2,5.25,1.6,4.0,5.75
Southampton,1,2,1,1,3,1,Win,A Marriner,1.73,3.8,5.5,1.7,3.7,5.25
Burnley,0,0,2,2,4,1,Win,S Attwell,5.75,3.8,1.7,5.5,3.8,1.65
Swansea,0,1,3,2,5,1,Win,J Moss,5.0,4.0,1.73,5.0,3.75,1.7
Watford,1,4,0,4,6,1,Win,A Taylor,1.25,6.5,15.0,1.25,6.0,11.5
Bournemouth,1,4,0,4,7,1,Win,M Oliver,1.25,6.0,10.0,1.25,5.75,10.5
Crystal Palace,0,0,1,1,8,1,Win,J Moss,5.5,4.2,1.65,5.25,4.1,1.62
Arsenal,1,2,0,2,9,1,Win,M Oliver,1.85,3.75,4.0,1.9,3.6,3.8
West Ham,0,1,0,-1,0,0,Loss,A Taylor,8.5,5.25,1.4,8.0,5.25,1.36
Man United,1,2,1,1,1,0,Win,J Moss,1.73,3.9,5.25,1.67,4.0,5.0
Leicester,0,1,6,5,2,0,Win,M Oliver,4.5,3.8,1.85,4.25,3.6,1.85
Hull,0,1,7,6,3,1,Win,A Marriner,7.0,4.75,1.5,6.75,4.33,1.5
Man City,1,1,0,1,1,0,Win,A Taylor,5.5,4.2,1.6,5.25,4.25,1.6
Wolves,0,0,1,1,2,0,Win,S Attwell,3.2,3.2,2.35,3.3,3.2,2.3
Watford,1,1,0,1,3,1,Win,A Marriner,1.36,4.75,9.0,1.44,4.5,7.75
Crystal Palace,0,3,0,-3,0,0,Loss,J Moss,4.2,3.5,1.9,4.4,3.3,1.91
