Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Everton,1,2,0,2,2,0,Win,A Marriner,2.14,3.39,3.75,2.15,3.3,3.6
Stoke,0,2,2,0,0,0,Draw,R Madley,2.7,3.29,2.87,2.55,3.3,2.8
Man City,1,0,2,-2,0,0,Loss,G Scott,9.5,5.75,1.33,8.0,5.75,1.33
West Ham,0,1,1,0,0,0,Draw,M Atkinson,2.7,3.39,2.75,2.75,3.3,2.6
Tottenham,1,2,1,1,1,0,Win,A Taylor,5.0,3.89,1.75,4.75,3.75,1.75
Burnley,1,1,0,1,2,0,Win,P Tierney,1.83,3.6,5.0,1.83,3.5,4.6
Newcastle,0,2,3,1,3,1,Win,N Swarbrick,2.62,3.29,2.89,2.55,3.2,2.9
Southampton,0,1,4,3,4,1,Win,C Kavanagh,2.1,3.39,3.89,2.05,3.4,3.7
Crystal Palace,1,0,3,-3,0,0,Loss,M Atkinson,1.89,3.6,4.5,1.87,3.6,4.25
Man United,1,2,2,0,0,0,Draw,J Moss,4.5,3.6,1.9,4.33,3.5,1.87
Watford,0,2,1,-1,0,0,Loss,C Kavanagh,2.54,3.5,2.87,2.5,3.5,2.75
Liverpool,0,2,1,-1,0,0,Loss,N Swarbrick,1.3,6.0,11.0,1.28,6.0,9.5
Huddersfield,1,3,0,3,1,0,Win,G Scott,1.66,3.79,6.0,1.62,3.9,5.75
Chelsea,0,0,0,0,0,0,Draw,M Jones,1.3,5.75,12.0,1.26,5.75,11.5
Watford,1,2,0,2,1,0,Win,L Probert,1.85,3.89,4.33,1.8,3.75,4.33
Everton,0,2,1,-1,0,0,Loss,C Kavanagh,3.0,3.2,2.62,2.95,3.1,2.55
Swansea,1,1,1,0,0,0,Draw,A Taylor,1.8,3.6,5.25,1.72,3.6,5.25
Man City,0,5,1,-4,0,0,Loss,M Jones,1.19,6.5,13.0,1.2,7.0,13.0
Stoke,1,1,1,0,0,0,Draw,M Oliver,1.72,3.89,5.25,1.72,3.75,5.0
Bournemouth,1,1,1,0,0,0,Draw,L Probert,1.85,3.75,4.5,1.85,3.8,4.0
West Brom,0,1,4,3,1,0,Win,R Madley,3.0,3.25,2.6,2.9,3.2,2.55
Brighton,0,0,2,2,2,0,Win,C Kavanagh,2.7,3.2,2.62,2.7,3.1,2.8
Newcastle,1,1,2,-1,0,0,Loss,S Attwell,1.95,3.6,4.2,1.95,3.4,4.1
Burnley,0,2,1,-1,0,0,Loss,M Atkinson,2.62,3.2,3.0,2.65,3.1,2.85
Southampton,1,0,0,0,0,0,Draw,R East,2.25,3.29,3.2,2.3,3.4,3.1
Crystal Palace,0,5,0,-5,0,0,Loss,M Dean,2.04,3.6,3.79,2.05,3.3,3.8
West Ham,1,0,2,-2,0,0,Loss,C Kavanagh,2.25,3.5,3.39,2.2,3.4,3.3
Arsenal,1,3,1,2,1,0,Win,G Scott,3.75,3.79,2.0,3.6,3.8,1.95
Tottenham,0,5,4,-1,0,0,Loss,C Pawson,1.33,6.0,9.0,1.3,5.75,9.25
Man United,0,2,1,-1,0,0,Loss,A Marriner,1.57,3.9,7.5,1.53,4.0,7.5
Wolves,1,2,0,2,1,0,Win,M Dean,2.04,3.5,3.9,2.0,3.5,3.8
Southampton,0,1,2,1,2,0,Win,J Moss,2.45,3.2,3.25,2.4,3.2,3.1
Liverpool,1,1,2,-1,0,0,Loss,P Tierney,7.5,5.0,1.44,6.5,4.75,1.45
Bournemouth,0,4,2,-2,0,0,Loss,C Pawson,2.45,3.5,3.0,2.4,3.4,2.95
Huddersfield,1,3,1,2,1,0,Win,D Coote,1.61,4.0,6.5,1.57,3.9,6.25
Newcastle,0,0,2,2,2,0,Win,S Hooper,2.6,3.3,3.0,2.55,3.25,2.85
Everton,1,1,2,-1,0,0,Loss,A Marriner,2.2,3.4,3.6,2.2,3.4,3.3
Arsenal,0,3,1,-2,0,0,Loss,C Kavanagh,1.53,4.5,6.5,1.5,4.33,6.5
West Ham,1,1,1,0,0,0,Draw,M Oliver,2.1,3.5,3.8,2.1,3.4,3.6
Cardiff,0,0,1,1,1,0,Win,L Probert,3.8,3.4,2.14,3.6,3.3,2.15
Burnley,1,0,0,0,0,0,Draw,M Dean,1.5,4.33,8.0,1.48,4.33,7.0
Brighton,0,1,1,0,0,0,Draw,C Kavanagh,2.9,3.4,2.6,2.85,3.2,2.6
Watford,1,2,0,2,1,0,Win,G Scott,2.25,3.3,3.6,2.2,3.3,3.4
Fulham,0,1,1,0,0,0,Draw,D Coote,3.0,3.5,2.45,3.0,3.4,2.35
Tottenham,1,0,2,-2,0,0,Loss,C Pawson,3.8,3.75,2.0,3.9,3.5,1.95
Crystal Palace,0,1,0,-1,0,0,Loss,M Oliver,2.62,3.2,3.0,2.55,3.2,2.9
Chelsea,0,0,1,1,1,0,Win,L Probert,1.33,5.5,11.0,1.33,5.0,10.0
Man City,1,2,1,1,2,0,Win,M Dean,9.5,5.25,1.36,8.5,5.0,1.36
Cardiff,1,0,1,-1,0,0,Loss,S Hooper,1.55,4.0,6.0,1.57,4.0,6.0
Everton,0,0,1,1,1,0,Win,M Atkinson,2.0,3.5,4.2,2.05,3.4,3.75
Southampton,1,1,2,-1,0,0,Loss,M Oliver,1.95,3.5,4.33,1.91,3.5,4.1
Wolves,0,4,3,-1,0,0,Loss,C Kavanagh,2.37,3.2,3.4,2.3,3.2,3.3
Liverpool,0,1,1,0,0,0,Draw,M Atkinson,1.22,7.0,15.0,1.22,6.5,13.0
Man United,1,0,1,-1,0,0,Loss,M Dean,3.6,3.5,2.15,3.7,3.4,2.05
Tottenham,0,3,1,-2,0,0,Loss,M Oliver,1.7,3.9,5.5,1.65,3.9,5.25
Crystal Palace,1,1,4,-3,0,0,Loss,A Taylor,2.25,3.4,3.5,2.15,3.3,3.5
Brighton,1,2,1,1,1,0,Win,L Probert,1.9,3.5,4.6,1.91,3.4,4.5
Watford,0,2,1,-1,0,0,Loss,J Moss,2.55,3.3,3.0,2.45,3.2,3.0
Fulham,1,3,1,2,1,0,Win,D Coote,1.57,4.5,6.0,1.6,4.1,5.5
Burnley,0,1,2,1,2,0,Win,M Oliver,3.1,3.4,2.45,3.0,3.3,2.4
Bournemouth,1,2,0,2,3,1,Win,L Mason,1.85,3.8,4.5,1.8,3.75,4.33
Huddersfield,0,1,4,3,4,1,Win,D Coote,5.0,4.0,1.72,5.0,3.8,1.7
Newcastle,1,0,1,-1,0,0,Loss,C Kavanagh,1.66,4.0,5.75,1.65,3.9,5.5
West Ham,0,2,2,0,0,0,Draw,L Probert,3.3,3.5,2.3,3.1,3.4,2.3
Arsenal,1,3,0,3,1,0,Win,M Oliver,2.75,3.6,2.6,2.7,3.6,2.5
Man City,0,1,0,-1,0,0,Loss,M Dean,1.12,8.5,17.0,1.14,8.75,17.0
Chelsea,1,0,0,0,0,0,Draw,A Taylor,2.4,3.75,2.9,2.35,3.6,2.85
Wolves,1,0,0,0,0,0,Draw,A Marriner,2.2,3.2,3.4,2.25,3.3,3.3
Chelsea,0,1,1,0,0,0,Draw,O Langford,1.7,3.75,5.0,1.72,3.7,5.0
Sheffield United,0,1,2,1,1,0,Win,A Madley,3.3,3.3,2.25,3.5,3.2,2.2
Bournemouth,1,3,1,2,2,0,Win,P Bankes,1.7,4.0,4.75,1.7,4.0,4.75
Man United,0,1,0,-1,0,0,Loss,M Atkinson,1.95,3.5,4.0,1.87,3.7,4.1
Tottenham,1,2,1,1,1,0,Win,P Tierney,2.87,3.5,2.37,2.95,3.4,2.4
Newcastle,1,5,0,5,2,0,Win,C Pawson,1.5,4.0,7.5,1.53,4.0,6.75
Liverpool,0,2,1,-1,0,0,Loss,C Kavanagh,1.44,4.75,7.0,1.45,4.6,7.0
Burnley,1,2,1,1,1,0,Win,J Moss,1.57,4.0,6.0,1.55,4.0,6.5
Southampton,0,0,9,9,2,0,Win,A Marriner,3.1,3.4,2.3,3.25,3.4,2.3
Crystal Palace,0,0,2,2,3,1,Win,P Tierney,3.5,3.4,2.1,3.5,3.3,2.15
Arsenal,1,2,0,2,4,1,Win,C Kavanagh,2.0,3.75,3.5,2.0,3.8,3.5
Brighton,0,0,2,2,5,1,Win,M Dean,3.75,3.5,2.0,3.7,3.6,2.0
Everton,1,2,1,1,6,1,Win,G Scott,1.61,4.0,5.25,1.6,4.25,5.25
Watford,1,2,0,2,7,1,Win,C Pawson,1.33,5.5,8.0,1.34,5.25,8.75
Aston Villa,0,1,4,3,8,1,Win,M Oliver,4.33,3.8,1.8,4.5,3.9,1.75
Norwich,1,1,1,0,0,0,Draw,A Madley,1.22,6.5,13.0,1.22,6.5,13.5
Man City,0,3,1,-2,0,0,Loss,M Dean,1.36,5.25,7.5,1.36,5.5,7.5
Liverpool,1,0,4,-4,0,0,Loss,M Oliver,3.4,3.75,2.05,3.4,3.7,2.05
West Ham,0,1,2,1,1,0,Win,D Coote,4.0,3.9,1.83,3.9,3.8,1.87
Newcastle,0,0,3,3,2,0,Win,M Atkinson,5.0,3.8,1.66,5.0,4.0,1.67
Southampton,1,1,2,-1,0,0,Loss,L Mason,1.6,4.0,5.5,1.62,4.0,5.5
Burnley,0,2,1,-1,0,0,Loss,A Taylor,4.33,3.75,1.83,4.33,3.7,1.83
West Ham,1,4,1,3,1,0,Win,D Coote,1.53,4.33,6.0,1.53,4.5,5.75
Chelsea,1,2,2,0,0,0,Draw,L Mason,2.5,3.6,2.7,2.5,3.5,2.75
Wolves,0,0,0,0,0,0,Draw,M Dean,2.5,3.3,2.87,2.55,3.3,2.9
Man City,1,0,1,-1,0,0,Loss,P Tierney,4.5,4.2,1.7,4.5,4.2,1.7
Norwich,0,1,0,-1,0,0,Loss,C Pawson,4.33,4.1,1.72,4.6,4.1,1.72
Aston Villa,1,4,0,4,1,0,Win,M Oliver,1.36,5.25,8.0,1.36,5.0,8.5
Watford,0,1,1,0,0,0,Draw,C Pawson,3.6,3.5,2.05,3.3,3.6,2.15
Brighton,1,0,0,0,0,0,Draw,L Mason,1.6,4.0,5.75,1.65,3.9,5.25
Everton,0,2,1,-1,0,0,Loss,D Coote,2.5,3.3,2.9,2.5,3.3,2.85
Crystal Palace,1,3,0,3,1,0,Win,J Moss,1.66,3.6,5.75,1.65,3.6,6.0
Arsenal,0,1,1,0,0,0,Draw,C Kavanagh,2.3,3.5,3.0,2.3,3.4,3.1
Bournemouth,0,4,1,-3,0,0,Loss,S Attwell,5.25,3.8,1.66,5.0,4.0,1.67
Sheffield United,1,2,0,2,1,0,Win,M Oliver,2.05,3.25,3.9,1.95,3.4,4.1
Tottenham,0,3,0,-3,0,0,Loss,A Taylor,2.25,3.3,3.25,2.35,3.3,3.1
Man United,1,0,2,-2,0,0,Loss,M Atkinson,3.25,3.5,2.2,3.2,3.5,2.2
Hull,0,2,1,-1,0,0,Loss,M Dean,4.5,3.6,1.91,4.33,3.4,1.9
Arsenal,1,0,0,0,0,0,Draw,M Clattenburg,2.88,3.6,2.5,2.75,3.6,2.45
Swansea,1,2,1,1,1,0,Win,R East,1.73,3.6,5.25,1.72,3.75,5.0
Liverpool,0,4,1,-3,0,0,Loss,C Pawson,1.7,4.0,5.5,1.67,4.0,5.5
Burnley,1,3,0,3,1,0,Win,A Taylor,1.5,4.33,8.0,1.53,4.1,6.5
Man United,0,4,1,-3,0,0,Loss,M Dean,1.73,3.9,5.25,1.67,4.0,5.5
Southampton,1,0,0,0,0,0,Draw,M Atkinson,2.25,3.4,3.5,2.2,3.3,3.4
Chelsea,0,3,0,-3,0,0,Loss,A Marriner,1.57,4.5,6.0,1.57,4.33,6.25
Crystal Palace,1,3,1,2,1,0,Win,M Oliver,2.05,3.5,3.9,2.05,3.4,3.7
Tottenham,0,1,1,0,0,0,Draw,R Madley,1.62,4.2,6.0,1.62,4.0,5.5
West Brom,1,1,2,-1,0,0,Loss,C Pawson,1.8,3.6,5.25,1.78,3.6,4.75
