Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Man City,1,0,5,-5,0,0,Loss,M Dean,12.0,6.5,1.22,11.5,5.75,1.26
Brighton,0,1,1,0,0,0,Draw,A Taylor,2.55,3.25,2.87,2.5,3.3,2.9
Watford,0,1,3,2,1,0,Win,C Kavanagh,2.05,3.5,3.5,2.1,3.6,3.4
Norwich,1,2,0,2,2,0,Win,P Tierney,1.85,3.9,3.9,1.87,3.8,4.0
Aston Villa,0,0,0,0,0,0,Draw,M Dean,2.62,3.5,2.6,2.6,3.4,2.7
Man United,1,2,0,2,1,0,Win,A Taylor,3.1,3.6,2.2,3.25,3.6,2.15
Bournemouth,0,2,2,0,0,0,Draw,S Attwell,2.5,3.5,2.75,2.5,3.6,2.7
Crystal Palace,1,1,2,-1,0,0,Loss,M Oliver,1.95,3.6,3.8,2.0,3.5,3.75
Everton,0,2,0,-2,0,0,Loss,P Tierney,1.95,3.75,3.75,1.95,3.6,3.8
Sheffield United,1,1,1,0,0,0,Draw,D Coote,2.1,3.5,3.5,2.05,3.5,3.6
Newcastle,1,2,3,-1,0,0,Loss,S Attwell,1.75,3.8,4.5,1.8,3.8,4.25
Burnley,0,3,0,-3,0,0,Loss,K Friend,2.25,3.5,3.1,2.3,3.5,3.0
Tottenham,1,2,3,-1,0,0,Loss,M Oliver,4.2,4.33,1.7,4.33,4.0,1.75
Chelsea,0,0,1,1,1,0,Win,J Moss,1.28,6.0,9.0,1.28,6.0,9.75
Wolves,0,2,0,-2,0,0,Loss,A Marriner,1.75,3.7,4.75,1.75,3.8,4.6
Arsenal,1,1,3,-2,0,0,Loss,M Dean,3.3,4.0,2.0,3.6,4.0,1.91
Southampton,0,0,1,1,1,0,Win,M Atkinson,1.9,3.8,3.8,1.91,3.8,3.8
Crystal Palace,0,2,1,-1,0,0,Loss,A Marriner,2.3,3.4,3.1,2.2,3.5,3.2
Leicester,1,1,2,-1,0,0,Loss,D Coote,4.0,3.9,1.83,3.9,3.8,1.87
Bournemouth,1,4,0,4,1,0,Win,G Scott,1.9,3.75,3.8,1.95,3.8,3.6
Sheffield United,0,1,0,-1,0,0,Loss,M Oliver,1.95,3.4,4.0,2.0,3.4,4.0
