Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Chelsea,0,0,0,0,0,0,Draw,M Oliver,1.8,4.0,4.5,1.75,4.0,4.4
West Brom,1,2,0,2,1,0,Win,R Madley,1.33,5.5,11.0,1.34,5.25,8.75
Brighton,1,2,0,2,2,0,Win,K Friend,1.2,6.5,13.0,1.22,6.0,12.0
Watford,0,2,1,-1,0,0,Loss,N Swarbrick,5.25,4.33,1.65,5.25,4.1,1.62
Everton,0,2,5,3,1,0,Win,C Pawson,3.79,3.6,2.04,3.9,3.6,1.95
Swansea,1,2,1,1,2,0,Win,L Mason,1.25,7.0,12.0,1.25,6.5,10.5
Man City,0,3,1,-2,0,0,Loss,M Oliver,1.39,5.5,7.5,1.4,5.0,7.5
Tottenham,1,2,0,2,1,0,Win,M Dean,2.5,3.6,2.89,2.45,3.4,2.85
Burnley,0,0,1,1,2,0,Win,L Mason,6.5,4.5,1.53,5.75,4.4,1.55
Huddersfield,1,5,0,5,3,1,Win,G Scott,1.19,7.5,17.0,1.18,7.0,17.0
Man United,1,1,3,-2,0,0,Loss,A Marriner,2.5,3.39,3.0,2.45,3.25,3.0
Southampton,0,1,1,0,0,0,Draw,R Madley,4.0,3.75,1.95,4.0,3.6,1.91
West Ham,0,0,0,0,0,0,Draw,J Moss,5.25,4.2,1.66,5.25,4.2,1.62
Newcastle,1,1,0,1,1,0,Win,S Attwell,1.25,6.5,14.0,1.26,5.75,12.0
Liverpool,1,3,3,0,0,0,Draw,M Atkinson,2.54,3.6,2.79,2.4,3.6,2.8
Crystal Palace,0,2,3,1,1,0,Win,M Oliver,4.5,4.0,1.8,4.5,3.8,1.78
West Brom,0,1,1,0,0,0,Draw,M Dean,5.0,4.0,1.72,4.6,3.9,1.75
Chelsea,1,2,2,0,0,0,Draw,A Taylor,2.6,3.39,2.6,2.7,3.4,2.6
Bournemouth,0,2,1,-1,0,0,Loss,K Friend,4.75,4.2,1.75,4.75,3.9,1.72
Crystal Palace,1,4,1,3,1,0,Win,C Kavanagh,1.5,4.75,7.0,1.5,4.4,6.25
