Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Burnley,0,1,1,0,0,0,Draw,A Taylor,2.55,3.5,2.87,2.5,3.3,2.85
Cardiff,1,1,2,-1,0,0,Loss,M Atkinson,1.75,3.9,5.0,1.75,3.7,4.75
Arsenal,0,2,0,-2,0,0,Loss,G Scott,1.5,4.75,7.0,1.45,4.5,7.0
Fulham,1,2,0,2,1,0,Win,A Taylor,1.9,3.7,4.33,1.91,3.4,4.25
Man United,0,3,2,-1,0,0,Loss,S Attwell,1.45,4.5,8.5,1.44,4.5,7.5
Tottenham,1,2,1,1,1,0,Win,K Friend,4.5,3.8,1.85,4.2,3.7,1.85
Brighton,0,0,1,1,2,0,Win,M Oliver,2.55,3.2,3.1,2.6,3.0,3.0
Liverpool,1,1,3,-2,0,0,Loss,P Tierney,9.0,5.0,1.4,8.5,4.75,1.4
Wolves,1,3,1,2,1,0,Win,J Moss,2.6,3.25,3.0,2.6,3.1,2.9
Newcastle,0,3,1,-2,0,0,Loss,A Taylor,2.55,3.2,3.1,2.45,3.1,3.1
Watford,0,1,1,0,0,0,Draw,M Dean,2.25,3.5,3.4,2.2,3.4,3.4
Bournemouth,1,3,3,0,0,0,Draw,G Scott,1.9,3.9,4.1,1.9,3.6,4.1
West Ham,0,3,0,-3,0,0,Loss,S Attwell,2.3,3.75,3.1,2.3,3.6,2.95
Huddersfield,1,1,1,0,0,0,Draw,L Probert,1.44,4.75,8.5,1.42,4.75,7.25
Burnley,0,3,0,-3,0,0,Loss,G Scott,2.62,3.2,2.75,2.65,3.2,2.75
Liverpool,1,1,2,-1,0,0,Loss,A Marriner,6.5,4.75,1.44,6.25,4.75,1.48
Brighton,0,0,2,2,1,0,Win,K Friend,2.4,3.3,3.0,2.4,3.2,3.1
Man United,1,1,1,0,0,0,Draw,M Dean,3.8,3.3,2.05,3.7,3.4,2.05
Sheffield United,0,0,1,1,1,0,Win,L Mason,2.45,3.2,3.0,2.45,3.1,3.1
Bournemouth,1,1,3,-2,0,0,Loss,C Kavanagh,2.05,3.6,3.5,2.0,3.7,3.6
Tottenham,0,2,1,-1,0,0,Loss,G Scott,1.4,4.75,8.0,1.42,4.6,7.5
Chelsea,1,1,4,-3,0,0,Loss,P Tierney,4.0,3.8,1.85,4.0,3.75,1.87
Wolves,0,1,1,0,0,0,Draw,P Bankes,1.8,3.6,4.5,1.83,3.5,4.5
Leicester,1,0,9,-9,0,0,Loss,A Marriner,3.1,3.4,2.3,3.25,3.4,2.3
Man City,0,2,1,-1,0,0,Loss,L Mason,1.07,13.0,23.0,1.09,11.0,23.0
Everton,1,1,2,-1,0,0,Loss,P Tierney,2.9,3.3,2.45,2.9,3.4,2.45
Arsenal,0,2,2,0,0,0,Draw,S Attwell,1.45,4.75,6.5,1.45,4.75,6.5
Watford,1,2,1,1,1,0,Win,M Oliver,2.1,3.4,3.5,2.1,3.5,3.5
Norwich,1,2,1,1,2,0,Win,K Friend,1.72,4.0,4.2,1.75,4.0,4.33
Newcastle,0,2,1,-1,0,0,Loss,D Coote,2.5,3.2,2.9,2.6,3.2,2.8
West Ham,1,0,1,-1,0,0,Loss,M Atkinson,1.9,3.8,3.8,1.91,3.8,3.8
Aston Villa,0,1,3,2,1,0,Win,C Pawson,2.4,3.6,2.8,2.35,3.6,2.85
Chelsea,0,0,2,2,2,0,Win,J Moss,1.33,5.25,9.0,1.35,5.25,8.25
Crystal Palace,1,1,1,0,0,0,Draw,A Madley,1.95,3.6,3.8,1.95,3.6,3.9
Tottenham,1,1,0,1,1,0,Win,M Dean,3.3,3.5,2.1,3.4,3.6,2.1
Leicester,0,1,2,1,2,0,Win,L Mason,1.6,4.0,5.5,1.62,4.0,5.5
Wolves,1,2,3,-1,0,0,Loss,D England,2.4,3.4,3.0,2.35,3.4,3.0
Crystal Palace,0,0,2,2,1,0,Win,A Marriner,2.7,3.25,2.7,2.75,3.3,2.7
Liverpool,0,4,0,-4,0,0,Loss,K Friend,1.25,6.0,12.0,1.28,5.75,10.5
Burnley,1,1,2,-1,0,0,Loss,S Hooper,1.75,3.8,4.75,1.78,3.7,4.6
Aston Villa,1,2,0,2,1,0,Win,C Pawson,1.61,4.33,5.0,1.62,4.1,5.25
West Ham,0,3,1,-2,0,0,Loss,A Taylor,2.65,3.6,2.5,2.65,3.6,2.55
Newcastle,1,0,1,-1,0,0,Loss,G Scott,1.61,4.1,5.25,1.65,3.9,5.25
Norwich,0,0,3,3,1,0,Win,K Friend,2.8,3.5,2.45,3.2,3.5,2.2
Arsenal,1,0,2,-2,0,0,Loss,G Scott,2.6,3.5,2.62,2.65,3.4,2.65
Watford,0,1,3,2,1,0,Win,M Oliver,2.5,3.3,2.87,2.5,3.3,2.9
Man City,1,1,0,1,2,0,Win,A Marriner,8.5,6.0,1.3,8.5,5.5,1.33
Everton,0,1,1,0,0,0,Draw,L Mason,2.05,3.5,3.6,2.0,3.5,3.75
Man United,0,2,2,0,0,0,Draw,C Kavanagh,1.3,5.5,10.0,1.28,6.0,10.0
Brighton,1,1,1,0,0,0,Draw,A Marriner,2.15,3.3,3.5,2.2,3.25,3.5
Bournemouth,0,0,2,2,1,0,Win,C Pawson,2.4,3.6,2.8,2.3,3.7,2.9
Sheffield United,1,3,1,2,2,0,Win,P Bankes,2.15,3.5,3.3,2.2,3.5,3.2
Watford,1,1,1,0,0,0,Draw,R East,1.8,3.75,5.0,1.8,3.4,4.5
Man United,0,2,0,-2,0,0,Loss,A Taylor,1.53,4.2,7.5,1.48,4.33,8.0
Sunderland,1,1,1,0,0,0,Draw,L Mason,1.57,3.6,6.5,1.6,3.9,6.0
Arsenal,0,2,1,-1,0,0,Loss,R Madley,1.57,4.2,6.5,1.55,4.2,6.0
Swansea,1,1,0,1,1,0,Win,M Jones,1.7,3.8,5.75,1.65,3.6,5.25
West Ham,0,0,3,3,2,0,Win,J Moss,2.8,3.3,2.75,2.8,3.3,2.7
Leicester,0,0,0,0,0,0,Draw,M Atkinson,2.25,3.4,3.5,2.2,3.3,3.4
Burnley,1,3,1,2,1,0,Win,M Dean,1.4,4.8,9.5,1.4,4.5,9.0
Man City,0,1,1,0,0,0,Draw,M Clattenburg,1.5,4.5,7.5,1.5,4.5,7.0
Chelsea,1,0,2,-2,0,0,Loss,M Jones,3.2,3.4,2.4,3.1,3.4,2.4
Hull,0,2,1,-1,0,0,Loss,G Scott,5.75,3.8,1.7,5.5,3.8,1.65
Liverpool,1,0,0,0,0,0,Draw,M Clattenburg,3.4,3.6,2.2,3.3,3.5,2.15
Everton,1,1,0,1,1,0,Win,C Pawson,2.2,3.4,3.6,2.1,3.3,3.7
Crystal Palace,0,3,0,-3,0,0,Loss,N Swarbrick,3.5,3.3,2.3,3.2,3.4,2.25
Middlesbrough,1,1,0,1,1,0,Win,S Attwell,1.7,3.7,6.0,1.65,3.7,5.75
Stoke,0,0,0,0,0,0,Draw,A Taylor,3.1,3.3,2.5,2.95,3.3,2.45
Bournemouth,0,1,3,2,1,0,Win,M Clattenburg,3.0,3.3,2.6,2.85,3.25,2.55
Tottenham,1,1,4,-3,0,0,Loss,M Dean,2.8,3.25,2.6,2.75,3.2,2.55
West Brom,1,1,2,-1,0,0,Loss,M Jones,1.75,3.7,5.5,1.75,3.5,5.25
Everton,0,3,0,-3,0,0,Loss,K Friend,2.2,3.4,3.6,2.15,3.3,3.5
Burnley,0,1,0,-1,0,0,Loss,P Tierney,3.6,3.4,2.2,3.5,3.25,2.2
Leicester,1,3,0,3,1,0,Win,M Oliver,1.83,3.5,5.25,1.83,3.5,4.6
Swansea,0,2,1,-1,0,0,Loss,R East,3.4,3.4,2.3,3.25,3.3,2.3
West Ham,1,1,3,-2,0,0,Loss,G Scott,1.85,3.75,4.5,1.8,3.6,4.6
Sunderland,0,0,4,4,1,0,Win,P Tierney,3.9,3.4,2.1,3.7,3.4,2.05
Watford,0,3,4,1,2,0,Win,J Moss,3.6,3.4,2.2,3.5,3.2,2.2
Tottenham,0,2,1,-1,0,0,Loss,A Marriner,1.73,3.8,5.5,1.7,3.7,5.25
Bournemouth,1,0,0,0,0,0,Draw,J Moss,1.65,4.0,6.0,1.62,3.9,5.75
Crystal Palace,1,3,1,2,1,0,Win,R East,1.83,3.7,4.75,1.8,3.5,4.75
West Brom,0,0,1,1,2,0,Win,C Kavanagh,3.0,3.3,2.55,2.95,3.3,2.45
Man City,1,0,3,-3,0,0,Loss,N Swarbrick,4.33,4.0,1.73,4.5,3.8,1.7
Chelsea,0,4,2,-2,0,0,Loss,L Mason,1.45,4.6,8.5,1.42,4.5,8.0
Hull,1,0,0,0,0,0,Draw,M Dean,1.6,3.75,5.75,1.62,3.9,5.0
Liverpool,0,0,0,0,0,0,Draw,R Madley,1.62,4.2,6.0,1.6,4.1,5.5
Arsenal,1,0,2,-2,0,0,Loss,J Moss,3.6,3.8,2.05,3.5,3.75,2.0
Middlesbrough,0,1,2,1,1,0,Win,A Taylor,4.0,3.6,2.0,3.8,3.5,2.0
Man United,1,0,0,0,0,0,Draw,M Dean,2.75,3.3,2.8,2.65,3.3,2.7
Stoke,1,0,1,-1,0,0,Loss,L Probert,1.8,3.8,4.75,1.75,3.8,4.75
Everton,0,3,1,-2,0,0,Loss,A Madley,1.9,3.5,4.0,1.95,3.5,3.9
Man United,1,1,1,0,0,0,Draw,C Pawson,5.5,4.2,1.57,5.0,4.33,1.62
