Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Newcastle,0,1,1,0,0,0,Draw,C Pawson,5.0,3.8,1.67,5.0,4.0,1.67
Man United,1,0,0,0,0,0,Draw,M Atkinson,2.8,3.25,2.8,2.7,3.3,2.65
Tottenham,0,4,1,-3,0,0,Loss,A Marriner,2.25,3.5,3.39,2.15,3.4,3.4
Huddersfield,1,3,0,3,1,0,Win,K Friend,1.25,6.75,13.0,1.22,6.5,12.5
West Ham,0,1,4,3,2,0,Win,N Swarbrick,5.25,4.33,1.66,5.0,4.1,1.65
Southampton,1,3,0,3,3,1,Win,M Jones,1.39,5.0,9.0,1.4,4.75,8.25
Chelsea,1,1,1,0,0,0,Draw,M Oliver,2.14,3.6,3.5,2.15,3.5,3.3
Stoke,0,0,3,3,1,0,Win,M Atkinson,6.5,4.5,1.55,6.0,4.4,1.53
Brighton,0,1,5,4,2,0,Win,G Scott,7.5,4.5,1.5,6.25,4.5,1.5
Everton,1,1,1,0,0,0,Draw,C Pawson,1.3,6.0,11.0,1.3,5.5,10.0
West Brom,1,0,0,0,0,0,Draw,P Tierney,1.22,7.0,15.0,1.2,7.0,13.5
Bournemouth,0,0,4,4,1,0,Win,A Marriner,6.5,4.5,1.53,6.25,4.6,1.48
Arsenal,0,3,3,0,0,0,Draw,M Atkinson,2.54,3.6,2.79,2.4,3.6,2.8
Swansea,1,5,0,5,1,0,Win,K Friend,1.16,9.0,19.0,1.15,8.0,18.5
Leicester,1,2,1,1,2,0,Win,N Swarbrick,1.3,6.0,11.0,1.28,6.0,9.5
Burnley,0,1,2,1,3,1,Win,R East,7.5,4.5,1.5,7.25,4.4,1.45
Man City,1,4,3,1,4,1,Win,A Marriner,3.1,3.75,2.29,3.1,3.6,2.2
Swansea,0,1,0,-1,0,0,Loss,N Swarbrick,12.0,5.75,1.3,10.0,5.5,1.3
Huddersfield,0,0,3,3,1,0,Win,K Friend,12.0,5.75,1.3,10.5,5.5,1.3
Tottenham,1,2,2,0,0,0,Draw,J Moss,2.1,3.75,3.6,2.05,3.6,3.5
Southampton,0,0,2,2,1,0,Win,M Atkinson,4.2,3.79,1.8,4.25,3.8,1.8
West Ham,1,4,1,3,2,0,Win,S Attwell,1.22,7.5,13.0,1.2,7.0,13.5
Newcastle,1,2,0,2,3,1,Win,G Scott,1.22,7.0,15.0,1.2,7.0,13.5
Man United,0,2,1,-1,0,0,Loss,C Pawson,2.75,3.39,2.75,2.65,3.3,2.7
Watford,1,5,0,5,1,0,Win,A Taylor,1.19,8.0,15.0,1.18,7.5,14.0
Crystal Palace,0,1,2,1,2,0,Win,N Swarbrick,7.0,4.33,1.44,6.75,4.33,1.5
Everton,0,0,0,0,0,0,Draw,M Oliver,4.2,3.75,1.9,4.1,3.6,1.9
Bournemouth,1,3,0,3,1,0,Win,C Kavanagh,1.25,7.0,12.0,1.25,6.25,11.5
West Brom,0,2,2,0,0,0,Draw,S Attwell,7.5,4.5,1.5,6.75,4.25,1.5
Stoke,1,0,0,0,0,0,Draw,A Marriner,1.33,5.75,10.0,1.3,5.75,9.5
Chelsea,0,1,0,-1,0,0,Loss,A Taylor,2.25,3.6,3.29,2.15,3.5,3.3
Brighton,1,4,0,4,1,0,Win,K Friend,1.19,8.0,15.0,1.16,8.0,16.5
West Ham,1,4,0,4,1,0,Win,A Taylor,1.25,6.5,14.0,1.2,6.75,14.0
Crystal Palace,0,0,2,2,2,0,Win,M Oliver,7.0,5.0,1.44,6.75,4.75,1.44
Brighton,1,1,0,1,3,1,Win,C Kavanagh,1.16,8.5,19.0,1.16,7.5,17.5
Leicester,0,1,2,1,4,1,Win,P Tierney,7.5,5.0,1.44,6.5,4.75,1.45
Tottenham,0,1,2,1,5,1,Win,M Oliver,3.0,3.6,2.4,2.95,3.6,2.3
Southampton,1,3,0,3,6,1,Win,P Tierney,1.2,7.5,17.0,1.2,6.75,14.0
Chelsea,0,1,1,0,0,0,Draw,A Marriner,2.8,3.6,2.54,2.85,3.5,2.4
Man City,1,0,0,0,0,0,Draw,M Atkinson,2.54,3.6,2.8,2.5,3.6,2.7
Huddersfield,0,0,1,1,1,0,Win,M Oliver,11.0,5.5,1.33,11.0,5.25,1.3
Cardiff,1,4,1,3,2,0,Win,S Attwell,1.11,11.0,26.0,1.1,10.0,23.0
Arsenal,0,1,1,0,0,0,Draw,A Marriner,3.9,3.9,1.95,3.5,3.75,2.0
Fulham,1,2,0,2,1,0,Win,P Tierney,1.11,11.0,26.0,1.11,9.5,23.0
Watford,0,0,3,3,2,0,Win,J Moss,6.5,4.33,1.55,6.0,4.2,1.55
Everton,1,1,0,1,3,1,Win,C Kavanagh,1.4,5.0,9.0,1.36,5.0,8.5
Burnley,0,1,3,2,4,1,Win,S Attwell,14.0,5.75,1.28,11.5,5.75,1.26
Bournemouth,0,0,4,4,5,1,Win,L Mason,5.75,4.5,1.6,5.5,4.33,1.57
Man United,1,3,1,2,6,1,Win,M Atkinson,1.57,4.5,6.0,1.53,4.33,6.0
Wolves,0,0,2,2,7,1,Win,C Pawson,7.0,4.0,1.57,6.5,3.9,1.57
Newcastle,1,4,0,4,8,1,Win,G Scott,1.16,8.5,19.0,1.16,8.0,16.0
Arsenal,1,5,1,4,9,1,Win,M Oliver,1.5,4.5,5.75,1.5,4.6,6.0
Man City,0,2,1,-1,0,0,Loss,A Taylor,2.04,3.8,3.6,2.05,3.8,3.3
Brighton,0,0,1,1,1,0,Win,K Friend,11.0,6.0,1.3,10.0,5.5,1.3
Crystal Palace,1,4,3,1,2,0,Win,J Moss,1.2,7.5,17.0,1.18,7.25,15.0
Leicester,1,1,1,0,0,0,Draw,M Atkinson,1.22,7.0,15.0,1.22,6.5,13.0
West Ham,0,1,1,0,0,0,Draw,K Friend,8.0,5.25,1.4,7.75,5.25,1.36
Bournemouth,1,3,0,3,1,0,Win,A Taylor,1.22,7.5,14.0,1.19,7.25,13.5
Man United,0,0,0,0,0,0,Draw,M Oliver,3.1,3.5,2.37,3.0,3.4,2.35
Watford,1,5,0,5,1,0,Win,G Scott,1.28,6.0,12.0,1.25,6.0,12.5
Everton,0,0,0,0,0,0,Draw,M Atkinson,6.0,4.2,1.61,5.5,4.1,1.6
Burnley,1,4,2,2,1,0,Win,A Marriner,1.16,8.5,21.0,1.17,7.5,15.5
Fulham,0,1,2,1,2,0,Win,C Pawson,12.0,7.0,1.25,10.5,6.5,1.25
Tottenham,1,2,1,1,3,1,Win,M Atkinson,1.61,4.2,6.0,1.6,4.1,5.5
Southampton,0,1,3,2,4,1,Win,P Tierney,9.0,5.0,1.4,8.5,4.75,1.4
Chelsea,1,2,0,2,5,1,Win,M Oliver,1.66,4.2,5.25,1.67,4.0,5.0
Cardiff,0,0,2,2,6,1,Win,M Atkinson,17.0,7.5,1.2,16.5,6.25,1.2
Huddersfield,1,5,0,5,7,1,Win,K Friend,1.07,15.0,41.0,1.05,14.0,34.0
Newcastle,0,2,3,1,8,1,Win,A Marriner,9.5,5.25,1.36,10.0,5.0,1.33
Wolves,1,2,0,2,9,1,Win,M Atkinson,1.3,6.0,11.0,1.3,5.75,9.5
Norwich,1,4,1,3,1,0,Win,M Oliver,1.14,10.0,19.0,1.14,8.25,18.5
Southampton,0,1,2,1,2,0,Win,A Marriner,6.5,4.75,1.44,6.25,4.75,1.48
Arsenal,1,3,1,2,3,1,Win,A Taylor,1.5,4.6,6.0,1.48,4.75,6.0
Burnley,0,0,3,3,4,1,Win,C Kavanagh,9.5,5.5,1.3,9.75,5.5,1.3
Newcastle,1,3,1,2,5,1,Win,A Marriner,1.14,8.5,17.0,1.14,8.25,18.5
Chelsea,0,1,2,1,6,1,Win,M Oliver,3.5,3.75,2.0,3.6,3.7,2.0
Sheffield United,0,0,1,1,7,1,Win,A Taylor,9.0,5.25,1.33,9.5,5.25,1.33
Leicester,1,2,1,1,8,1,Win,C Kavanagh,1.44,4.75,7.0,1.45,4.6,7.0
Man United,0,1,1,0,0,0,Draw,M Atkinson,5.25,3.8,1.65,5.0,4.0,1.67
Tottenham,1,2,1,1,1,0,Win,A Taylor,1.5,4.33,6.5,1.5,4.5,6.25
Aston Villa,0,1,2,1,2,0,Win,J Moss,9.0,5.0,1.33,9.25,5.0,1.35
Man City,1,3,1,2,3,1,Win,M Oliver,2.5,3.6,2.62,2.65,3.6,2.55
Crystal Palace,0,1,2,1,4,1,Win,K Friend,7.5,4.75,1.4,7.5,4.5,1.44
Brighton,1,2,1,1,5,1,Win,M Atkinson,1.18,7.0,15.0,1.2,7.0,13.0
Everton,1,5,2,3,6,1,Win,M Dean,1.36,5.0,8.5,1.4,4.75,7.75
Bournemouth,0,0,3,3,7,1,Win,C Kavanagh,7.0,5.25,1.4,7.25,5.0,1.4
Watford,1,2,0,2,8,1,Win,A Marriner,1.16,7.5,17.0,1.16,8.0,15.5
Leicester,0,0,4,4,9,1,Win,M Oliver,3.4,3.75,2.05,3.4,3.7,2.05
Wolves,1,1,0,1,10,1,Win,A Taylor,1.25,5.75,12.0,1.26,6.0,11.5
Sheffield United,1,2,0,2,11,1,Win,P Tierney,1.2,6.5,13.0,1.22,6.5,13.0
Tottenham,0,0,1,1,12,1,Win,M Atkinson,4.5,4.33,1.66,4.5,4.33,1.67
Man United,1,2,0,2,13,1,Win,C Pawson,1.36,5.25,8.0,1.4,5.25,7.0
Wolves,0,1,2,1,14,1,Win,M Oliver,5.75,3.8,1.61,5.5,4.0,1.62
West Ham,0,0,2,2,15,1,Win,J Moss,8.5,5.5,1.33,8.25,5.5,1.34
Southampton,1,4,0,4,16,1,Win,K Friend,1.25,6.0,12.0,1.28,5.75,10.5
Norwich,0,0,1,1,17,1,Win,S Attwell,11.0,6.25,1.25,9.75,6.0,1.28
West Ham,1,3,2,1,18,1,Win,J Moss,1.16,8.0,15.0,1.17,7.5,16.0
Watford,0,3,0,-3,0,0,Loss,M Oliver,8.0,4.75,1.4,7.5,5.0,1.4
Bournemouth,1,2,1,1,1,0,Win,P Tierney,1.22,6.5,13.0,1.25,6.0,12.5
Everton,0,0,0,0,0,0,Draw,M Dean,6.0,4.2,1.55,5.5,4.25,1.57
Crystal Palace,1,4,0,4,1,0,Win,M Atkinson,1.22,6.5,13.0,1.22,6.25,14.0
Man City,0,4,0,-4,0,0,Loss,A Taylor,2.05,3.9,3.3,2.05,3.8,3.3
Aston Villa,1,2,0,2,1,0,Win,P Tierney,1.33,5.5,8.5,1.34,5.5,8.25
Brighton,0,1,3,2,2,0,Win,C Pawson,6.0,4.33,1.53,5.75,4.33,1.55
Burnley,1,1,1,0,0,0,Draw,D Coote,1.22,6.5,12.0,1.25,6.0,11.5
Arsenal,0,2,1,-1,0,0,Loss,P Tierney,3.8,3.8,1.9,3.8,4.0,1.85
Chelsea,1,5,3,2,1,0,Win,A Marriner,2.0,3.75,3.5,1.95,3.8,3.6
Newcastle,0,1,3,2,2,0,Win,A Taylor,7.5,5.25,1.36,7.5,4.75,1.42
Arsenal,0,3,4,1,1,0,Win,M Oliver,2.4,3.5,3.1,2.35,3.3,2.9
Burnley,0,2,0,-2,0,0,Loss,L Mason,6.5,4.2,1.57,6.5,4.0,1.55
Tottenham,0,1,1,0,0,0,Draw,R Madley,2.38,3.4,3.0,2.4,3.5,2.9
Leicester,1,4,1,3,1,0,Win,C Pawson,1.7,4.0,5.5,1.67,4.0,5.5
Chelsea,0,1,2,1,2,0,Win,M Atkinson,2.25,3.5,3.4,2.25,3.5,3.3
