Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Chelsea,0,3,0,-3,0,0,Loss,J Moss
Brentford,1,0,0,0,0,0,Draw,M Atkinson
West Ham,0,2,2,0,0,0,Draw,S Attwell
Tottenham,1,3,0,3,1,0,Win,J Moss
Liverpool,0,3,0,-3,0,0,Loss,A Madley
Brighton,1,1,1,0,0,0,Draw,A Marriner
Leicester,1,2,2,0,0,0,Draw,A Taylor
Arsenal,0,2,2,0,0,0,Draw,M Dean
Newcastle,1,1,1,0,0,0,Draw,D England
Man City,0,0,2,2,1,0,Win,A Marriner
Wolves,1,2,0,2,2,0,Win,G Scott
Burnley,0,3,3,0,0,0,Draw,S Hooper
Aston Villa,1,1,2,-1,0,0,Loss,M Salisbury
