HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,HomeWinStreak,AwayWinStreak,TGSH,TGSA,Results
Bournemouth,Aston Villa,0,1,-1,0,1,0,0,Loss
Chelsea,Swansea,2,2,0,0,1,0,0,Draw
Everton,Watford,2,2,0,0,1,0,0,Draw
Leicester,Sunderland,4,2,2,1,0,0,0,Win
Man United,Tottenham,1,0,1,2,0,0,0,Win
Norwich,Crystal Palace,1,3,-2,0,1,0,0,Loss
Arsenal,West Ham,0,2,-2,0,2,0,0,Loss
Newcastle,Southampton,2,2,0,0,2,0,0,Draw
Stoke,Liverpool,0,1,-1,0,3,0,1,Loss
West Brom,Man City,0,3,-3,0,4,0,1,Loss
Aston Villa,Man United,0,1,-1,0,5,0,1,Loss
Southampton,Everton,0,3,-3,0,6,0,1,Loss
Sunderland,Norwich,1,3,-2,0,7,0,1,Loss
Swansea,Newcastle,2,0,2,1,0,0,0,Win
Tottenham,Stoke,2,2,0,1,0,0,0,Draw
Watford,West Brom,0,0,0,1,0,0,0,Draw
West Ham,Leicester,1,2,-1,0,1,0,0,Loss
Crystal Palace,Arsenal,1,2,-1,0,2,0,0,Loss
Man City,Chelsea,3,0,3,1,0,0,0,Win
Liverpool,Bournemouth,1,0,1,2,0,0,0,Win
Crystal Palace,Aston Villa,2,1,1,3,0,1,0,Win
Leicester,Tottenham,1,1,0,3,0,1,0,Draw
Man United,Newcastle,0,0,0,3,0,1,0,Draw
Norwich,Stoke,1,1,0,3,0,1,0,Draw
Sunderland,Swansea,1,1,0,3,0,1,0,Draw
West Ham,Bournemouth,3,4,-1,0,1,0,0,Loss
Everton,Man City,0,2,-2,0,2,0,0,Loss
Watford,Southampton,0,0,0,0,2,0,0,Draw
West Brom,Chelsea,2,3,-1,0,3,0,1,Loss
Arsenal,Liverpool,0,0,0,0,3,0,1,Draw
Aston Villa,Sunderland,2,2,0,0,3,0,1,Draw
Bournemouth,Leicester,1,1,0,0,3,0,1,Draw
Chelsea,Crystal Palace,1,2,-1,0,4,0,1,Loss
Liverpool,West Ham,0,3,-3,0,5,0,1,Loss
Man City,Watford,2,0,2,1,0,0,0,Win
Newcastle,Arsenal,0,1,-1,0,1,0,0,Loss
Stoke,West Brom,0,1,-1,0,2,0,0,Loss
Tottenham,Everton,0,0,0,0,2,0,0,Draw
Southampton,Norwich,3,0,3,1,0,0,0,Win
Swansea,Man United,2,1,1,2,0,0,0,Win
Arsenal,Stoke,2,0,2,3,0,1,0,Win
Crystal Palace,Man City,0,1,-1,0,1,0,0,Loss
Everton,Chelsea,3,1,2,1,0,0,0,Win
Man United,Liverpool,3,1,2,2,0,0,0,Win
Norwich,Bournemouth,3,1,2,3,0,1,0,Win
Watford,Swansea,1,0,1,4,0,1,0,Win
West Brom,Southampton,0,0,0,4,0,1,0,Draw
Leicester,Aston Villa,3,2,1,5,0,1,0,Win
Sunderland,Tottenham,0,1,-1,0,1,0,0,Loss
West Ham,Newcastle,2,0,2,1,0,0,0,Win
Aston Villa,West Brom,0,1,-1,0,1,0,0,Loss
Bournemouth,Sunderland,2,0,2,1,0,0,0,Win
Chelsea,Arsenal,2,0,2,2,0,0,0,Win
Man City,West Ham,1,2,-1,0,1,0,0,Loss
Newcastle,Watford,1,2,-1,0,2,0,0,Loss
Stoke,Leicester,2,2,0,0,2,0,0,Draw
Swansea,Everton,0,0,0,0,2,0,0,Draw
Liverpool,Norwich,1,1,0,0,2,0,0,Draw
Southampton,Man United,2,3,-1,0,3,0,1,Loss
Tottenham,Crystal Palace,1,0,1,1,0,0,0,Win
Leicester,Arsenal,2,5,-3,0,1,0,0,Loss
Liverpool,Aston Villa,3,2,1,1,0,0,0,Win
Man United,Sunderland,3,0,3,2,0,0,0,Win
Newcastle,Chelsea,2,2,0,2,0,0,0,Draw
Southampton,Swansea,3,1,2,3,0,1,0,Win
Stoke,Bournemouth,2,1,1,4,0,1,0,Win
Tottenham,Man City,4,1,3,5,0,1,0,Win
West Ham,Norwich,2,2,0,5,0,1,0,Draw
Watford,Crystal Palace,0,1,-1,0,1,0,0,Loss
West Brom,Everton,2,3,-1,0,2,0,0,Loss
Aston Villa,Stoke,0,1,-1,0,3,0,1,Loss
Bournemouth,Watford,1,1,0,0,3,0,1,Draw
Chelsea,Southampton,1,3,-2,0,4,0,1,Loss
Crystal Palace,West Brom,2,0,2,1,0,0,0,Win
Man City,Newcastle,6,1,5,2,0,0,0,Win
Norwich,Leicester,1,2,-1,0,1,0,0,Loss
Sunderland,West Ham,2,2,0,0,1,0,0,Draw
Arsenal,Man United,3,0,3,1,0,0,0,Win
Everton,Liverpool,1,1,0,1,0,0,0,Draw
Swansea,Tottenham,2,2,0,1,0,0,0,Draw
Chelsea,Aston Villa,2,0,2,2,0,0,0,Win
Crystal Palace,West Ham,1,3,-2,0,1,0,0,Loss
Everton,Man United,0,3,-3,0,2,0,0,Loss
Man City,Bournemouth,5,1,4,1,0,0,0,Win
Southampton,Leicester,2,2,0,1,0,0,0,Draw
Tottenham,Liverpool,0,0,0,1,0,0,0,Draw
Watford,Arsenal,0,3,-3,0,1,0,0,Loss
West Brom,Sunderland,1,0,1,1,0,0,0,Win
Newcastle,Norwich,6,2,4,2,0,0,0,Win
Swansea,Stoke,0,1,-1,0,1,0,0,Loss
Arsenal,Everton,2,1,1,1,0,0,0,Win
Aston Villa,Swansea,1,2,-1,0,1,0,0,Loss
Leicester,Crystal Palace,1,0,1,1,0,0,0,Win
Norwich,West Brom,0,1,-1,0,1,0,0,Loss
Stoke,Watford,0,2,-2,0,2,0,0,Loss
West Ham,Chelsea,2,1,1,1,0,0,0,Win
Bournemouth,Tottenham,1,5,-4,0,1,0,0,Loss
Liverpool,Southampton,1,1,0,0,1,0,0,Draw
Man United,Man City,0,0,0,0,1,0,0,Draw
Sunderland,Newcastle,3,0,3,1,0,0,0,Win
Chelsea,Liverpool,1,3,-2,0,1,0,0,Loss
