Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results
Chelsea,0,4,2,-2,0,0,Loss
Hull,1,0,0,0,0,0,Draw
Liverpool,0,0,0,0,0,0,Draw
Arsenal,1,0,2,-2,0,0,Loss
Middlesbrough,0,1,2,1,1,0,Win
Man United,1,0,0,0,0,0,Draw
Stoke,1,0,1,-1,0,0,Loss
Everton,0,3,1,-2,0,0,Loss
Man United,1,1,1,0,0,0,Draw
Newcastle,0,2,2,0,0,0,Draw
West Ham,1,0,0,0,0,0,Draw
Man City,0,0,0,0,0,0,Draw
Wolves,1,0,1,-1,0,0,Loss
Chelsea,0,3,1,-2,0,0,Loss
Leeds,1,1,0,1,1,0,Win
Burnley,1,2,2,0,0,0,Draw
Watford,0,0,1,1,1,0,Win
Aston Villa,1,1,0,1,2,0,Win
Norwich,0,2,1,-1,0,0,Loss
Liverpool,0,4,0,-4,0,0,Loss
