Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results
Man City,1,2,2,0,0,0,Draw
West Ham,1,3,0,3,1,0,Win
Crystal Palace,0,3,0,-3,0,0,Loss
Middlesbrough,0,1,2,1,1,0,Win
Leicester,1,1,0,1,2,0,Win
Tottenham,0,2,0,-2,0,0,Loss
Man United,1,2,0,2,1,0,Win
Southampton,0,0,2,2,2,0,Win
Stoke,0,1,4,3,3,1,Win
Sunderland,1,2,0,2,4,1,Win
Everton,1,3,1,2,5,1,Win
Brentford,0,2,0,-2,0,0,Loss
Chelsea,1,0,2,-2,0,0,Loss
Man City,0,5,0,-5,0,0,Loss
Norwich,1,1,0,1,1,0,Win
Burnley,0,0,1,1,2,0,Win
Tottenham,1,3,1,2,3,1,Win
Brighton,0,0,0,0,0,0,Draw
Crystal Palace,1,2,2,0,0,0,Draw
Aston Villa,1,3,1,2,1,0,Win
Leicester,0,0,2,2,2,0,Win
Watford,1,1,0,1,3,1,Win
Liverpool,0,4,0,-4,0,0,Loss
Newcastle,1,2,0,2,1,0,Win
